is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_authentic_no is_tone_no negemo_yes many_sixltr has_hashtag  basic myths refugees refugees burden skollwf refugees 
is_tone_no negemo_yes sad_yes insight_yes tentat_yes many_sixltr has_hashtag  basic assumptions refugees refugees economically isolated skollwf refugees 
is_authentic_yes many_sixltr has_hashtag  average length refugees spend exile decades refugees skollwf 
is_analytic_yes is_clout_yes is_authentic_no insight_yes discrep_yes see_yes affiliation_yes achieve_yes high_wps has_hashtag  need seeing refugees economic issue need recognize skills refugees skollwf 
is_analytic_no is_tone_no negemo_yes sad_yes certain_yes differ_yes see_yes affiliation_yes risk_yes high_wps has_hashtag  tragedy chaos seen called refugee crisis inevitable skollwf refugees 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anx_yes many_sixltr has_hashtag  stephan chambers reciting uncomfortable things closing plenary skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes hear_yes affiliation_yes power_yes many_sixltr has_hashtag  privileged hear presidents pianist rock star superstars skollwf fiercecompassion 
affiliation_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  skollwf closing plenary live join streaming 
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes certain_yes see_yes affiliation_yes reward_yes netspeak_yes has_exclam has_hashtag has_url  thanks joining inspiring great ideas thinkers place skollwf 
is_clout_yes is_tone_yes posemo_yes reward_yes many_sixltr low_wps has_exclam has_hashtag  great panel incomeinequality thank skollwf 
is_authentic_yes cause_yes power_yes few_sixltr has_qmark has_hashtag  end revolution going change ngaire woods incomeinequality skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes insight_yes see_yes power_yes many_sixltr high_wps has_hashtag  having rich white man benefitted acknowledges rigged valuable incomeinequality skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes high_wps has_hashtag  want increase transfers poor need raise taxes story incomeinequality skollwf 
is_authentic_no discrep_yes many_sixltr low_wps has_hashtag  20 foreign aid reaches grassroots number needs 90 degan ali incomeinequality skollwf 
is_analytic_yes is_authentic_yes power_yes many_sixltr low_wps has_hashtag  middle economics antidote trickle economics incomeinequality skollwf 
is_analytic_no is_clout_no posemo_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes hear_yes power_yes high_wps has_hashtag  everybody needs accountable needs openness speak shut skollwf 
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes insight_yes cause_yes differ_yes see_yes affiliation_yes achieve_yes power_yes many_sixltr has_hashtag  unfortunately looking solutions global scale governments collaborating incomeinequality skollwf 
is_analytic_no is_tone_yes posemo_yes insight_yes power_yes many_sixltr low_wps has_hashtag  strong correlation public education incomeinequality skollwf 
is_analytic_no is_clout_yes is_authentic_no insight_yes cause_yes tentat_yes feel_yes affiliation_yes achieve_yes high_wps has_hashtag  let work harder try insure finding educating people make gov representative incomeinequality skollwf 
is_authentic_yes insight_yes many_sixltr has_hashtag  direct link real human rights economic citizenship incomeinequality skollwf 
is_analytic_yes is_clout_no certain_yes differ_yes many_sixltr low_wps has_hashtag  real inequality complete inequality aspiration ngaire woods incomeinequality skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes power_yes risk_yes has_hashtag  want need make sure government trusted impartial ngaire woods incomeinequality skollwf 
is_analytic_no is_tone_yes posemo_yes insight_yes power_yes has_hashtag  ngaire woods popular sense rules rigged incomeinequality skollwf 
is_analytic_no is_clout_no is_authentic_yes insight_yes certain_yes differ_yes affiliation_yes has_hashtag  20 years businesses social entrepreneurs dream belief incomeinequality skollwf 
is_analytic_no is_authentic_no certain_yes affiliation_yes achieve_yes many_sixltr low_wps has_hashtag  american dream pure social science fiction work incomeinequality skollwf 
is_analytic_no is_tone_no negemo_yes differ_yes see_yes feel_yes power_yes many_sixltr has_hashtag  poor people invisible exist citizens hard equal visible incomeinequality skollwf 
is_analytic_yes certain_yes power_yes many_sixltr has_hashtag  degan ali entire northern africa pastoralists invisible governments incomeinequality skollwf 
is_analytic_no posemo_yes negemo_yes anger_yes tentat_yes assent_yes low_wps has_qmark has_hashtag  people argue right incomeinequality foster growth innovation agree skollwf 
is_authentic_no is_tone_no negemo_yes sad_yes tentat_yes differ_yes achieve_yes power_yes many_sixltr has_hashtag  tells heartbreaking story inequality personified trying rescue peasants denied skollwf 
is_analytic_no is_clout_yes cause_yes tentat_yes see_yes high_wps has_hashtag  picture america young boy dreams unequal world dreams possible skollwf 
is_authentic_no affiliation_yes netspeak_yes many_sixltr has_hashtag has_url  live skollwf 
is_clout_no is_authentic_yes posemo_yes insight_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes has_hashtag has_url  wealth inequality highest level past 50 years join mins solutions skollwf 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  join 30 minutes challenging global wealth inequality streaming live skollwf 
is_analytic_yes is_clout_no is_tone_no negemo_yes anx_yes differ_yes reward_yes risk_yes netspeak_yes high_wps has_hashtag has_url  unless turkey starts adopting approach like eu refugee deal risks collapse 
is_analytic_no is_tone_no negemo_yes anger_yes insight_yes cause_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  exposes political intimidation corruption aid manipulation skollwf humanrights 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes certain_yes achieve_yes reward_yes netspeak_yes low_wps has_exclam has_photo has_hashtag has_url  backstage year skoll awards congrats awardees skollwf 
is_analytic_no is_authentic_no is_tone_yes posemo_yes achieve_yes netspeak_yes assent_yes few_sixltr has_exclam has_video has_hashtag has_url  yes excellent climatechange talk 
is_clout_yes is_authentic_no is_tone_yes posemo_yes netspeak_yes many_sixltr low_wps has_exclam has_hashtag has_url  incredible performance thank skollwf 
is_analytic_yes posemo_yes negemo_yes insight_yes cause_yes tentat_yes affiliation_yes achieve_yes power_yes risk_yes many_sixltr has_hashtag  bryan stevenson creates effective reforms help disadvantaged people america skollwf 
is_tone_yes posemo_yes negemo_yes tentat_yes power_yes many_sixltr low_wps has_hashtag  world condemns bias contaminates cherished values skollwf 
is_analytic_no is_clout_no discrep_yes tentat_yes differ_yes power_yes risk_yes many_sixltr high_wps has_hashtag  world child die malaria diarrhea illness prevention treatment exist skollwf 
is_clout_yes is_authentic_yes is_tone_no negemo_yes insight_yes certain_yes risk_yes many_sixltr high_wps has_hashtag  world societies recognize complicity perpetuating violence women girls guarantee protection skollwf 
is_authentic_yes is_tone_no negemo_yes anger_yes see_yes power_yes has_hashtag  world darkest forms torture abuse brought light abuse power brought justice skollwf 
is_authentic_no power_yes netspeak_yes high_wps has_photo has_hashtag has_url  god mercy quoting pope francis skollwf fiercecompassion 
is_analytic_yes is_authentic_no power_yes many_sixltr low_wps has_exclam has_hashtag  beating drum justice beating drum justice bryan stevenson cjreform skollwf 
is_clout_no is_authentic_yes is_tone_yes posemo_yes cause_yes differ_yes power_yes many_sixltr has_hashtag  bryan stevenson america justice wealth culpability shapes outcomes skollwf cjreform 
is_analytic_no is_clout_yes is_authentic_yes insight_yes affiliation_yes achieve_yes power_yes reward_yes few_sixltr has_hashtag  pay forward takes help health workers world learn skollwf 
is_analytic_no insight_yes certain_yes power_yes few_sixltr none  proved model reduces child deaths 25 
is_analytic_no is_authentic_no is_tone_yes posemo_yes achieve_yes reward_yes nonflu_yes low_wps has_exclam has_hashtag  congratulations 2016 skoll award deserved skollwf 
cause_yes certain_yes differ_yes many_sixltr low_wps has_hashtag  make difference skollwf 
is_analytic_yes is_tone_yes posemo_yes cause_yes achieve_yes power_yes many_sixltr high_wps has_hashtag  created build culture human rights norms equality justice live skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes achieve_yes reward_yes many_sixltr low_wps has_exclam has_hashtag  congratulations skoll award team amaze skollwf 
is_analytic_no cause_yes see_yes netspeak_yes many_sixltr has_video has_hashtag has_url  building generation change agents watch skollwf domesticviolence india 
is_analytic_no is_clout_no is_tone_no negemo_yes anger_yes differ_yes many_sixltr has_hashtag  oren yakobovich ongoing human rights violation skollwf humanrights 
is_analytic_no is_clout_yes is_tone_no negemo_yes anger_yes cause_yes see_yes affiliation_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  inside secretly help expose humanrights violations skollwf 
is_clout_yes posemo_yes negemo_yes feel_yes affiliation_yes power_yes many_sixltr has_hashtag  injustice cold shock intrusion things hold dear skollwf justice 
is_analytic_no is_tone_yes posemo_yes insight_yes achieve_yes reward_yes nonflu_yes many_sixltr low_wps has_exclam has_hashtag  accepts award congratulations deserved skollwf 
is_clout_no tentat_yes differ_yes power_yes low_wps has_hashtag  law supposed sacred thread billions people case skollwf 
is_analytic_yes cause_yes see_yes feel_yes achieve_yes power_yes netspeak_yes high_wps has_hashtag has_url  founded place power law hands people skollwf 
is_analytic_yes is_authentic_yes insight_yes cause_yes many_sixltr has_hashtag  highlighting central tenets buddhism right thinking right intentions right actions skollwf 
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes certain_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  sends holiness best wishes health recovery skollwf 
is_analytic_no is_tone_yes posemo_yes tentat_yes certain_yes differ_yes affiliation_yes power_yes few_sixltr low_wps has_hashtag  equal rights fair play justice like air skollwf justice 
is_analytic_yes is_tone_yes posemo_yes feel_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  touching themes equity justice fairness intro forskollwf awards 
is_analytic_no is_clout_yes is_authentic_yes power_yes many_sixltr has_qmark has_hashtag  human societies begin develop capacity justice run deep skollwf justice 
is_analytic_no is_clout_yes is_tone_yes posemo_yes certain_yes see_yes affiliation_yes netspeak_yes many_sixltr has_hashtag has_url  welcomes oxford watching skollwf 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes see_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr has_exclam has_hashtag  2016 skoll awards ceremony way looking forward great event celebrating socent skollwf 
is_clout_yes posemo_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps has_url  join celebrate year awardees 2pm streaming live 
is_analytic_no is_clout_yes is_authentic_no discrep_yes affiliation_yes achieve_yes reward_yes many_sixltr low_wps has_qmark has_hashtag  34 years want achieve net zero climate emissions tremendous goal climate skollwf 
is_analytic_no is_clout_yes is_authentic_yes insight_yes cause_yes tentat_yes certain_yes affiliation_yes many_sixltr low_wps has_qmark has_hashtag  continue climate momentum paris simple question extremely complicated response skollwf 
is_clout_yes is_authentic_no affiliation_yes netspeak_yes low_wps has_exclam has_hashtag has_url  live talk post paris climate join skollwf 
is_analytic_no is_clout_yes posemo_yes cause_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes has_qmark has_hashtag has_url  paris climate agreement achieve goals watch live 10 45am skollwf 
is_analytic_yes posemo_yes certain_yes see_yes achieve_yes reward_yes netspeak_yes has_photo has_hashtag has_url  skoll awards ceremony highlight skollwf watch live 2pm gmt 
is_analytic_no is_clout_no is_authentic_yes is_tone_yes posemo_yes insight_yes differ_yes power_yes many_sixltr has_hashtag  think important distinguish sex gender gender values womenleadership skollwf 
is_clout_yes is_authentic_yes is_tone_yes posemo_yes insight_yes affiliation_yes has_hashtag  let start redefining means young woman young man inspiration womenleadership skollwf 
is_authentic_yes is_tone_yes posemo_yes insight_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes high_wps has_hashtag  nurturing women leadership somebody idea need treated respect skollwf 
is_clout_yes is_authentic_no discrep_yes affiliation_yes achieve_yes power_yes risk_yes low_wps has_hashtag  crisis lack leadership women leadership skollwf 
